ëOÅ´Å@å„ÇÎÅ®	a	i	u	e	o	k	s	t	n	h	m	y	r	w	g	z	j	d	b	p	ky	sh	ch	ts	ty	ny	hy	by	py	my	ry	v	gy	dy	f	pau	cl	N	br	sil	TRACKSTART	TRACKEND	DUMMY
a	39	389	35	60	16	296	127	121	216	40	181	67	379	97	85	33	34	76	37	5	7	122	28	28	0	0	0	0	0	1	0	0	0	0	16	45	116	120	242	0	0	0	0
i	40	63	5	31	8	220	96	261	264	29	233	53	181	79	88	46	35	133	92	17	0	42	40	53	0	0	0	0	0	1	1	0	1	0	15	33	41	68	231	0	0	0	0
u	13	29	27	8	7	200	46	96	137	13	125	58	152	21	48	15	10	34	19	7	2	39	12	12	0	0	0	0	0	0	1	0	1	0	5	55	29	44	149	0	0	0	0
e	14	106	2	8	7	118	38	166	115	7	90	35	143	47	49	14	18	57	28	0	4	37	15	26	0	0	0	0	0	0	0	1	0	0	3	37	28	55	192	0	0	0	0
o	20	83	30	41	38	280	77	88	208	40	154	41	174	168	46	11	9	71	47	7	3	49	23	25	0	0	0	0	0	1	5	0	1	0	11	87	47	74	276	0	0	0	0
k	361	382	241	140	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s	131	0	166	108	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t	343	7	5	342	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n	453	229	15	76	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h	81	90	0	9	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m	197	230	71	163	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
y	65	0	84	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
